"","coords.x1","coords.x2","cluster"
"82",548982.000000235,183958.999998955,0
"83",549491.000000239,182445.999998936,0
"84",550120.000000243,185369.999998904,0
"85",548925.000000234,186078.999998955,0
"86",546959.000000219,184487.999999036,0
"87",544371.000000201,183885.999999135,1
"88",545255.000000207,184327.999999102,1
"89",544983.000000205,184505.999999111,1
"90",545726.00000021,183230.999999085,0
"91",550683.000000248,187114.999998877,0
"92",547399.000000222,185190.999999018,0
"93",544040.000000199,184328.999999145,1
"94",548507.000000231,188625.999998969,0
"95",546995.00000022,186003.999999033,0
"96",549708.00000024,183652.999998925,0
"97",544646.000000203,184319.999999124,1
"98",549005.000000235,184238.999998953,0
"99",549973.000000242,184358.999998912,0
"100",550271.000000245,185849.999998897,0
"101",544813.000000204,183359.999999118,1
"102",544738.000000203,183657.999999121,1
"103",549542.000000239,185861.999998929,0
"104",547669.000000225,184561.999999008,0
"105",549340.000000237,184299.999998939,0
"106",550078.000000243,184318.999998908,0
"107",545437.000000208,183815.999999095,1
"108",544255.0000002,183848.999999138,1
"109",545310.000000207,184313.9999991,1
"110",548005.000000227,185835.999998993,0
"111",546029.000000212,185385.999999071,0
"112",550020.000000243,183218.999998911,0
"113",550596.000000247,183979.999998886,0
"114",544393.000000201,183962.999999133,1
"115",544326.0000002,184499.999999136,1
"116",549853.000000241,186037.999998915,0
"117",547595.000000224,183645.999999012,0
"118",544079.000000199,184229.999999145,1
"119",549087.000000235,187251.999998947,0
"120",544401.000000201,183188.999999133,1
"121",548551.000000231,184690.999998972,0
"122",548760.000000233,184145.999998964,0
"123",550060.000000243,184856.999998907,0
"124",546627.000000217,182943.999999051,0
"125",546769.000000218,186129.999999042,0
"126",546685.000000217,184604.999999046,0
"127",550313.000000245,184894.999998896,0
"128",549897.000000242,183188.999998917,0
"129",547668.000000224,189626.999999001,0
"130",548696.000000232,182322.999998969,0
"131",551065.000000251,186491.99999886,0
"132",550794.000000249,187012.999998873,0
"133",548429.00000023,188416.999998972,0
"134",544935.000000205,183068.999999114,0
"135",543909.000000198,183782.99999915,1
"136",550245.000000244,186017.999998898,0
"137",545296.000000207,183211.999999101,0
"138",546888.000000219,184061.999999039,0
"139",544682.000000203,184427.999999122,1
"140",549110.000000235,187140.999998945,0
"141",548250.000000229,186133.999998983,0
"142",546006.000000212,183861.999999074,0
"143",548560.000000231,188147.999998968,0
"144",544308.0000002,183906.999999136,1
"145",548628.000000232,182518.999998971,0
"146",551342.000000253,186997.999998848,0
"147",548655.000000232,188247.999998963,0
"148",546617.000000217,185091.999999048,0
"149",547739.000000225,187428.999999002,0
"150",544618.000000203,183961.999999126,1
"151",543511.000000195,184363.999999163,1
"152",546930.000000219,186063.999999036,0
"153",545266.000000207,184300.999999101,1
"154",548304.000000229,183705.999998984,0
"155",548154.000000228,189493.999998982,0
"156",547781.000000225,185767.999999002,0
"157",548517.000000231,186858.99999897,0
"158",548344.000000229,189351.999998974,0
"159",544395.000000201,184640.999999132,1
"160",550184.000000244,185271.999998902,0
"161",550143.000000244,185336.999998904,0
"162",548201.000000229,183862.999998987,0
"163",548272.000000229,189436.999998978,0
"164",548339.000000229,190031.999998974,0
"165",548903.000000234,185860.999998956,0
"166",548131.000000228,189488.999998983,0
"167",549890.000000242,184339.999998915,0
"168",545298.000000207,184626.999999099,1
"169",549594.000000239,183434.99999893,0
"170",548273.000000229,184340.999998985,0
"171",546440.000000215,185711.999999055,0
"172",549586.000000239,185011.999998928,0
"173",549995.000000243,183511.999998913,0
"174",548872.000000234,186541.999998956,0
"175",549729.00000024,184668.999998922,0
"176",546714.000000217,182853.999999048,0
"177",548757.000000233,184136.999998964,0
"178",550898.00000025,186440.999998868,0
"179",547942.000000226,189698.999998991,0
"180",543961.000000198,184334.999999148,1
"181",550180.000000244,186294.9999989,0
"182",543780.000000197,184616.999999155,1
"183",549308.000000237,184164.999998941,0
"184",548748.000000232,188328.999998959,0
"185",549225.000000236,184870.999998944,0
"186",548164.000000228,187941.999998984,0
"187",547756.000000225,183940.999999005,0
"188",548911.000000234,187519.999998953,0
"189",547926.000000227,184127.999998999,0
"190",547794.000000225,187874.999998999,0
"191",544940.000000205,184451.999999114,1
"192",544371.000000201,183942.999999134,1
"193",549003.000000235,185737.999998951,0
"194",545336.000000208,183908.999999099,1
"195",549097.000000235,184589.999998949,0
"196",545137.000000206,184237.999999105,1
"197",545761.000000211,183684.999999082,0
"198",546707.000000217,184623.999999046,0
"199",549723.00000024,186115.99999892,0
"200",548332.000000229,189911.999998974,0
"201",549021.000000235,184267.999998953,0
"202",550527.000000247,184353.999998888,0
"203",543919.000000198,183253.999999151,0
"204",550080.000000243,184882.999998907,0
"205",550147.000000244,184894.999998903,0
"206",548822.000000233,185003.99999896,0
"207",549307.000000237,185817.999998939,0
"208",548098.000000228,186256.999998989,0
"209",545340.000000208,183910.999999098,1
"210",547110.00000022,184030.999999031,0
"211",544587.000000202,184578.999999125,1
"212",545586.000000209,183022.99999909,0
"213",545213.000000207,182990.999999104,0
"214",544384.000000201,184031.999999135,1
"215",548991.000000235,184820.999998953,0
"216",549023.000000235,185046.999998952,0
"217",549990.000000242,185335.99999891,0
"218",549083.000000235,187276.999998947,0
"219",549309.000000237,183972.999998941,0
"220",547547.000000224,184329.999999013,0
"221",549995.000000242,185791.999998909,0
